technology,year,cost,type
GSHP,2023,1108.0,original
GSHP,2030,1053.0,original
GSHP,2040,991.0,original
GSHP,2025,1091.0880420499352,extrapolated
GSHP,2035,1019.9498289623723,extrapolated
GSHP,2045,965.4320241691848,extrapolated
GSHP,2055,922.3192064923361,extrapolated
GSHP,2065,887.3714285714294,extrapolated
GSHP,2075,858.4697986577193,extrapolated
GSHP,2085,834.1702127659588,extrapolated
GSHP,2095,813.4545454545471,extrapolated
BTES,2023,1273.0,original
BTES,2030,1273.0,original
BTES,2040,1273.0,original
BTES,2025,1273.0000010569224,extrapolated
BTES,2035,1272.9999997414893,extrapolated
BTES,2045,1272.9999984389292,extrapolated
BTES,2055,1272.9999971490538,extrapolated
BTES,2065,1272.9999958716787,extrapolated
BTES,2075,1272.9999946066232,extrapolated
BTES,2085,1272.99999335371,extrapolated
BTES,2095,1272.9999921127646,extrapolated
ASHP,2023,1163.0,original
ASHP,2030,1105.0,original
ASHP,2040,1047.0,original
ASHP,2025,1144.44,extrapolated
ASHP,2035,1073.1935483870968,extrapolated
ASHP,2045,1025.0540540540542,extrapolated
ASHP,2055,990.3488372093027,extrapolated
ASHP,2065,964.1428571428576,extrapolated
ASHP,2075,943.6545454545461,extrapolated
ASHP,2085,927.1967213114762,extrapolated
ASHP,2095,913.68656716418,extrapolated
NG Boiler,2023,131.0,original
NG Boiler,2030,131.0,original
NG Boiler,2040,131.0,original
NG Boiler,2025,131.0000000667892,extrapolated
NG Boiler,2035,130.99999995029168,extrapolated
NG Boiler,2045,130.99999983483087,extrapolated
NG Boiler,2055,130.99999972039296,extrapolated
NG Boiler,2065,130.99999960696445,extrapolated
NG Boiler,2075,130.99999949453203,extrapolated
NG Boiler,2085,130.9999993830826,extrapolated
NG Boiler,2095,130.9999992726034,extrapolated
E Boiler,2020,160.0,original
E Boiler,2030,149.0,original
E Boiler,2050,138.0,original
E Boiler,2025,153.71428570491645,extrapolated
E Boiler,2035,145.33333332322684,extrapolated
E Boiler,2045,139.999999999904,extrapolated
E Boiler,2055,136.30769231930142,extrapolated
E Boiler,2065,133.60000002267574,extrapolated
E Boiler,2075,131.5294117972619,extrapolated
E Boiler,2085,129.8947368833293,extrapolated
E Boiler,2095,128.57142862023042,extrapolated
Hybrid HP,2020,1931.0,original
Hybrid HP,2030,1778.0,original
Hybrid HP,2050,1626.363636,original
Hybrid HP,2025,1843.4033829256737,extrapolated
Hybrid HP,2035,1727.3039331725834,extrapolated
Hybrid HP,2045,1653.8332790025229,extrapolated
Hybrid HP,2055,1603.154836490391,extrapolated
Hybrid HP,2065,1566.0868321314767,extrapolated
Hybrid HP,2075,1537.795439540958,extrapolated
Hybrid HP,2085,1515.4935469251864,extrapolated
Hybrid HP,2095,1497.461186257191,extrapolated
